time_ground,flux_ground
5.081006200000000206e+01,9.994340000000000446e-01
5.081353500000000167e+01,1.001344999999999930e+00
5.081700699999999671e+01,9.989080000000000181e-01
5.082047899999999885e+01,1.002426999999999957e+00
5.082395100000000099e+01,1.000564999999999927e+00
5.082742300000000313e+01,1.000987000000000071e+00
5.083089499999999816e+01,1.003424000000000094e+00
5.083436700000000030e+01,1.000026999999999999e+00
5.083783900000000244e+01,9.992590000000000083e-01
5.084131200000000206e+01,1.002669000000000032e+00
5.084478399999999709e+01,1.000224999999999920e+00
5.084825599999999923e+01,9.993980000000000086e-01
5.085172800000000137e+01,9.997709999999999653e-01
5.085520000000000351e+01,1.000050000000000106e+00
5.085867199999999855e+01,1.000229000000000035e+00
5.086214400000000069e+01,9.994039999999999591e-01
5.086561600000000283e+01,1.000320000000000098e+00
5.086908900000000244e+01,1.001112999999999920e+00
5.087256099999999748e+01,9.995319999999999760e-01
5.087603299999999962e+01,1.000027999999999917e+00
5.087950500000000176e+01,1.000102999999999964e+00
5.088297699999999679e+01,9.991799999999999571e-01
5.088644899999999893e+01,9.999339999999999895e-01
5.088992100000000107e+01,1.000118000000000062e+00
5.089339300000000321e+01,9.992010000000000058e-01
5.089686499999999825e+01,9.993509999999999893e-01
5.090033799999999786e+01,9.991170000000000329e-01
5.090381000000000000e+01,1.000841000000000092e+00
5.090728200000000214e+01,9.994859999999999856e-01
5.091075399999999718e+01,9.945119999999999516e-01
5.091422599999999932e+01,9.926540000000000363e-01
5.091769800000000146e+01,9.922569999999999446e-01
5.092116999999999649e+01,9.919989999999999641e-01
5.092464199999999863e+01,9.926289999999999836e-01
5.092811499999999825e+01,9.923530000000000406e-01
5.093158700000000039e+01,9.932520000000000238e-01
5.093505900000000253e+01,9.927960000000000118e-01
5.093853099999999756e+01,9.979320000000000412e-01
5.094200299999999970e+01,9.990580000000000016e-01
5.094547500000000184e+01,1.000011999999999901e+00
5.094894699999999688e+01,1.000347000000000097e+00
5.095241899999999902e+01,9.996399999999999730e-01
5.095589199999999863e+01,1.000389999999999890e+00
5.095936400000000077e+01,9.996760000000000090e-01
5.096283600000000291e+01,9.997129999999999628e-01
5.096630799999999795e+01,1.000350000000000072e+00
5.096978000000000009e+01,1.000726999999999922e+00
5.097325200000000223e+01,1.000855000000000050e+00
5.097672399999999726e+01,1.000345000000000040e+00
5.098019599999999940e+01,1.000132999999999939e+00
5.098366899999999902e+01,1.000326000000000048e+00
5.098714100000000116e+01,1.000380000000000047e+00
5.099061300000000330e+01,1.000588000000000033e+00
5.099408499999999833e+01,1.000609000000000082e+00
5.099755700000000047e+01,1.000739999999999963e+00
5.100102900000000261e+01,9.994849999999999568e-01
5.100450099999999765e+01,1.000599000000000016e+00
5.100797299999999979e+01,1.000329999999999941e+00
5.101144599999999940e+01,9.998080000000000300e-01
5.101491800000000154e+01,9.999320000000000430e-01
5.101838999999999658e+01,9.992130000000000178e-01
5.102186199999999872e+01,9.989609999999999879e-01
5.102533400000000086e+01,9.993090000000000028e-01
5.102880600000000300e+01,1.001117999999999952e+00
5.103227799999999803e+01,9.998099999999999765e-01
5.103575000000000017e+01,9.997430000000000483e-01
5.103922299999999979e+01,1.000461999999999962e+00
5.104269500000000193e+01,1.000879999999999992e+00
5.104616699999999696e+01,1.000939999999999941e+00
5.104963899999999910e+01,1.000498000000000109e+00
5.105311100000000124e+01,9.992999999999999661e-01
5.105658300000000338e+01,1.000315999999999983e+00
5.106005499999999842e+01,1.000127999999999906e+00
5.106352700000000056e+01,1.000040000000000040e+00
5.106699900000000270e+01,9.996049999999999658e-01
5.107047200000000231e+01,9.995800000000000241e-01
5.107394399999999735e+01,1.000515999999999961e+00
5.107741599999999949e+01,1.000663999999999998e+00
