time_space,flux_space
5.084741100000000102e+01,9.993020000000000236e-01
5.084889700000000090e+01,9.994720000000000271e-01
5.085038899999999984e+01,9.989639999999999631e-01
5.085188699999999784e+01,1.000453000000000037e+00
5.085339499999999902e+01,1.000598000000000098e+00
5.085488800000000253e+01,1.000310000000000032e+00
5.085638200000000353e+01,1.000612999999999975e+00
5.085787400000000247e+01,1.000842000000000009e+00
5.085938399999999859e+01,9.993379999999999486e-01
5.086088800000000276e+01,9.999860000000000415e-01
5.086238300000000123e+01,1.000259000000000009e+00
5.086387100000000316e+01,9.986909999999999954e-01
5.086536499999999705e+01,1.000272999999999968e+00
5.086687299999999823e+01,1.000331000000000081e+00
5.086835700000000315e+01,1.001584000000000030e+00
5.086986699999999928e+01,1.000623999999999958e+00
5.087136499999999728e+01,9.988810000000000189e-01
5.087285700000000332e+01,1.000237000000000043e+00
5.087435599999999880e+01,1.000226999999999977e+00
5.087584700000000026e+01,9.984730000000000549e-01
5.087736100000000050e+01,1.001481999999999983e+00
5.087882900000000319e+01,1.000191000000000052e+00
5.088034600000000296e+01,1.000007000000000090e+00
5.088182900000000330e+01,9.995020000000000016e-01
5.088335200000000214e+01,9.989540000000000086e-01
5.088483899999999949e+01,9.994589999999999863e-01
5.088633699999999749e+01,1.000663999999999998e+00
5.088783500000000259e+01,9.996930000000000538e-01
5.088932499999999948e+01,1.000431999999999988e+00
5.089082299999999748e+01,9.997880000000000100e-01
5.089233099999999865e+01,9.997489999999999988e-01
5.089381600000000105e+01,9.987869999999999804e-01
5.089532899999999671e+01,9.992640000000000411e-01
5.089682200000000023e+01,9.993300000000000516e-01
5.089831999999999823e+01,9.994309999999999583e-01
5.089980200000000110e+01,9.989970000000000239e-01
5.090133399999999853e+01,9.992820000000000036e-01
5.090281300000000186e+01,1.000556999999999919e+00
5.090432599999999752e+01,1.001130000000000075e+00
5.090581300000000198e+01,1.000080999999999998e+00
5.090732400000000268e+01,9.989139999999999686e-01
5.090881799999999657e+01,9.994420000000000526e-01
5.091030200000000150e+01,9.963370000000000282e-01
5.091180800000000062e+01,9.931090000000000195e-01
5.091328500000000190e+01,9.928770000000000095e-01
5.091479600000000261e+01,9.924749999999999961e-01
5.091629400000000061e+01,9.920930000000000026e-01
5.091778300000000002e+01,9.918690000000000007e-01
5.091929100000000119e+01,9.928940000000000543e-01
5.092078699999999714e+01,9.911609999999999587e-01
5.092228500000000224e+01,9.927920000000000078e-01
5.092378800000000183e+01,9.921870000000000411e-01
5.092528099999999824e+01,9.930050000000000265e-01
5.092678000000000083e+01,9.918540000000000134e-01
5.092827499999999930e+01,9.923149999999999471e-01
5.092978099999999841e+01,9.929430000000000200e-01
5.093128800000000211e+01,9.920179999999999554e-01
5.093277100000000246e+01,9.944220000000000281e-01
5.093426699999999840e+01,9.927850000000000286e-01
5.093576999999999799e+01,9.928059999999999663e-01
5.093728399999999823e+01,9.955300000000000260e-01
5.093875200000000092e+01,9.988449999999999829e-01
5.094025500000000051e+01,9.993220000000000436e-01
5.094175099999999645e+01,9.988070000000000004e-01
5.094325400000000315e+01,9.992860000000000076e-01
5.094474499999999750e+01,9.986660000000000537e-01
5.094626300000000185e+01,1.001222999999999974e+00
5.094776699999999892e+01,1.001182000000000016e+00
5.094925200000000132e+01,9.990299999999999736e-01
5.095072700000000054e+01,9.991870000000000474e-01
5.095224100000000078e+01,9.995460000000000456e-01
5.095372700000000066e+01,1.000407999999999964e+00
5.095524400000000043e+01,9.999069999999999903e-01
5.095676999999999879e+01,1.000850000000000017e+00
5.095822600000000335e+01,9.991419999999999746e-01
5.095976699999999937e+01,1.000224000000000002e+00
5.096122700000000094e+01,9.997430000000000483e-01
5.096271699999999782e+01,9.989780000000000326e-01
5.096422400000000152e+01,1.000369000000000064e+00
5.096572199999999953e+01,1.001079000000000052e+00
5.096723200000000276e+01,9.997249999999999748e-01
5.096871699999999805e+01,1.001617999999999897e+00
5.097021000000000157e+01,9.997080000000000410e-01
5.097170200000000051e+01,1.001648000000000094e+00
5.097321099999999916e+01,1.001233000000000040e+00
5.097470899999999716e+01,9.996979999999999755e-01
5.097621000000000180e+01,1.000593000000000066e+00
5.097770799999999980e+01,1.000040999999999958e+00
5.097921500000000350e+01,1.000475000000000003e+00
5.098069999999999879e+01,9.996589999999999643e-01
5.098219799999999680e+01,9.997080000000000410e-01
5.098371099999999956e+01,1.000934999999999908e+00
5.098518399999999673e+01,9.996479999999999810e-01
5.098669199999999790e+01,1.000561999999999951e+00
5.098819000000000301e+01,1.000304000000000082e+00
5.098967700000000036e+01,1.001076999999999995e+00
5.099118899999999854e+01,9.999730000000000008e-01
5.099266399999999777e+01,1.000950000000000006e+00
5.099419100000000071e+01,1.000710999999999906e+00
5.099567100000000153e+01,1.000342000000000064e+00
5.099716800000000205e+01,9.999050000000000438e-01
5.099868899999999883e+01,1.001641999999999921e+00
5.100017700000000076e+01,9.991409999999999458e-01
5.100167700000000082e+01,9.998909999999999743e-01
5.100316800000000228e+01,1.000726000000000004e+00
5.100467299999999682e+01,1.000869999999999926e+00
5.100615799999999922e+01,1.000213000000000019e+00
5.100766699999999787e+01,9.993260000000000476e-01
5.100917599999999652e+01,1.001023999999999914e+00
5.101066900000000004e+01,9.987160000000000482e-01
5.101216000000000150e+01,1.000942999999999916e+00
5.101365400000000250e+01,1.000140000000000029e+00
5.101514999999999844e+01,1.000888000000000000e+00
5.101664999999999850e+01,9.988970000000000349e-01
5.101814600000000155e+01,9.995380000000000376e-01
5.101965100000000319e+01,9.989350000000000174e-01
5.102114600000000166e+01,9.984309999999999574e-01
5.102263899999999808e+01,9.994640000000000191e-01
5.102414000000000271e+01,9.993509999999999893e-01
5.102563500000000118e+01,9.992330000000000378e-01
5.102712999999999965e+01,9.999700000000000255e-01
5.102864199999999784e+01,1.002077000000000107e+00
5.103015299999999854e+01,1.001311000000000062e+00
5.103163200000000188e+01,1.000013000000000041e+00
5.103312799999999783e+01,9.996239999999999570e-01
5.103462600000000293e+01,9.989679999999999671e-01
